"","x"
"CL0000192.873",24
"CL0000192.874",25
"CL0000192.875",24
"CL0000192.876",25
"CL0000192.877",25
"CL0000192.878",24
"CL0000192.879",25
"CL0000192.880",24
"CL0000192.881",25
"CL0000192.882",25
"CL0000192.883",25
"CL0000192.884",24
"CL0000192.885",25
"CL0000192.886",24
"CL0000192.887",24
"CL0000192.888",25
"CL0000192.889",25
"CL0000192.890",25
"CL0000192.891",25
"CL0000192.892",24
"CL0000192.893",25
"CL0000192.894",25
"CL0000192.895",25
"CL0000192.896",24
"CL0000192.897",25
"CL0000192.898",25
"CL0000192.899",25
"CL0000192.900",25
"CL0000192.901",25
"CL0000192.902",24
"CL0000192.903",24
"CL0000192.904",21
"CL0000192.905",25
"CL0000192.906",25
"CL0000192.907",25
"CL0000192.908",25
"CL0000192.909",24
"CL0000192.910",25
"CL0000192.911",24
"CL0000192.912",25
"CL0000192.913",25
"CL0000192.914",25
"CL0000192.915",25
"CL0000192.916",25
"CL0000192.917",25
"CL0000192.918",25
"CL0000192.919",24
"CL0000192.920",24
"CL0000192.921",25
"CL0000192.922",22
"CL0000192.923",25
"CL0000192.924",25
"CL0000192.925",25
"CL0000192.926",25
"CL0000192.927",25
"CL0000192.928",25
"CL0000192.929",25
"CL0000192.930",25
"CL0000192.931",25
"CL0000192.932",25
"CL0000192.933",25
"CL0000192.934",25
"CL0000192.935",25
"CL0000192.936",25
"CL0000192.937",24
"CL0000192.938",24
"CL0000192.939",24
"CL0000192.940",24
"CL0000192.941",25
"CL0000192.942",25
"CL0000192.943",25
"CL0000192.944",25
"CL0000192.945",25
"CL0000192.946",25
"CL0000192.947",25
"CL0000192.948",25
"CL0000192.949",25
"CL0000192.950",25
"CL0000192.951",25
"CL0000192.952",25
"CL0000192.953",25
"CL0000192.954",25
"CL0000192.955",24
"CL0000192.956",25
"CL0000192.957",24
"CL0000192.958",25
"CL0000192.959",25
"CL0000192.960",25
"CL0000192.961",25
"CL0000192.962",25
"CL0000192.963",25
"CL0000192.964",25
"CL0000192.965",25
"CL0000192.966",25
"CL0000192.967",25
"CL0000192.968",24
"CL0000192.969",25
"CL0000192.970",24
"CL0000192.971",25
"CL0000192.972",25
"CL0000192.973",25
"CL0000192.974",25
"CL0000192.975",25
"CL0000192.976",24
"CL0000192.977",24
"CL0000192.978",25
"CL0000192.979",25
"CL0000192.980",25
"CL0000192.981",25
"CL0000192.982",25
"CL0000192.983",24
"CL0000192.984",25
"CL0000192.985",25
"CL0000192.986",25
"CL0000192.987",25
"CL0000192.988",25
"CL0000192.989",24
"CL0000192.990",25
"CL0000192.991",25
"CL0000192.992",25
"CL0000192.993",25
"CL0000192.994",25
"CL0000192.995",25
"CL0000192.996",24
"CL0000192.997",25
"CL0000192.998",25
"CL0000192.999",21
"CL0000192.1000",25
"CL0000192.1001",24
"CL0000192.1002",21
"CL0000192.1003",25
"CL0000192.1004",25
"CL0000192.1005",24
"CL0000192.1006",25
"CL0000192.1007",24
"CL0000192.1008",25
"CL0000192.1009",25
"CL0000192.1010",25
"CL0000192.1011",25
"CL0000192.1012",25
"CL0000192.1013",25
"CL0000192.1014",24
"CL0000192.1015",25
"CL0000192.1016",25
"CL0000192.1017",25
"CL0000192.1018",24
"CL0000192.1019",21
"CL0000192.1020",25
"CL0000192.1021",25
"CL0000192.1022",25
"CL0000192.1023",24
"CL0000192.1024",25
"CL0000192.1025",25
"CL0000192.1026",25
"CL0000192.1027",25
"CL0000192.1028",25
"CL0000192.1029",25
"CL0000192.1030",25
"CL0000192.1031",25
"CL0000192.1032",25
"CL0000192.1033",25
"CL0000192.1034",25
"CL0000192.1035",25
"CL0000192.1036",25
"CL0000192.1037",25
"CL0000192.1038",24
"CL0000192.1039",24
"CL0000192.1040",25
"CL0000192.1041",24
"CL0000192.1042",25
"CL0000192.1043",25
"CL0000192.1044",24
"CL0000192.1045",24
"CL0000192.1046",25
"CL0000192.1047",25
"CL0000192.1048",25
"CL0000192.1049",25
"CL0000192.1050",25
"CL0000192.1051",25
"CL0000192.1052",24
"CL0000192.1053",25
"CL0000192.1054",24
"CL0000192.1055",25
"CL0000192.1056",25
"CL0000192.1057",25
"CL0000192.1058",21
"CL0000192.1059",25
"CL0000192.1060",25
"CL0000192.1061",25
"CL0000192.1062",25
"CL0000192.1063",25
"CL0000192.1064",24
"CL0000192.1065",25
"CL0000192.1066",25
"CL0000192.1067",25
"CL0000192.1068",24
"CL0000192.1069",25
"CL0000192.1070",25
"CL0000192.1071",25
"CL0000192.1072",25
"CL0000192.1073",25
"CL0000192.1074",24
"CL0000192.1075",24
"CL0000192.1076",25
"CL0000192.1077",25
"CL0000192.1078",25
"CL0000192.1079",25
"CL0000192.1080",25
"CL0000192.1081",25
"CL0000192.1082",25
"CL0000192.1083",25
"CL0000192.1084",24
"CL0000192.1085",24
"CL0000192.1086",25
"CL0000192.1087",24
"CL0000192.1088",24
"CL0000192.1089",25
"CL0000192.1090",25
"CL0000192.1091",25
"CL0000192.1092",24
"CL0000192.1093",24
"CL0000192.1094",24
"CL0000192.1095",24
"CL0000192.1096",24
"CL0000192.1097",25
"CL0000192.1098",25
"CL0000192.1099",25
"CL0000192.1100",24
"CL0000192.1101",25
"CL0000192.1102",25
"CL0000192.1103",24
"CL0000192.1104",24
"CL0000192.1105",25
"CL0000192.1106",25
"CL0000192.1107",24
"CL0000192.1108",25
"CL0000192.1109",25
"CL0000192.1110",25
"CL0000192.1111",25
"CL0000192.1112",25
"CL0000192.1113",25
"CL0000192.1114",23
"CL0000192.1115",25
"CL0000192.1116",25
"CL0000192.1117",25
"CL0000192.1118",25
