"","x"
"CL0000192.739",100
"CL0000192.740",99
"CL0000192.741",106
"CL0000192.742",99
"CL0000192.743",106
"CL0000192.744",106
"CL0000192.745",99
"CL0000192.746",107
"CL0000192.747",103
"CL0000192.748",100
"CL0000192.749",100
"CL0000192.750",109
"CL0000192.751",103
"CL0000192.752",105
"CL0000192.753",98
"CL0000192.754",99
"CL0000192.755",107
"CL0000192.756",103
"CL0000192.757",104
"CL0000192.758",103
"CL0000192.759",98
"CL0000192.760",106
"CL0000192.761",100
"CL0000192.762",99
"CL0000192.763",104
"CL0000192.764",107
"CL0000192.765",99
"CL0000192.766",99
"CL0000192.767",107
"CL0000192.768",106
"CL0000192.769",107
"CL0000192.770",100
"CL0000192.771",98
"CL0000192.772",103
"CL0000192.773",106
"CL0000192.774",98
"CL0000192.775",99
"CL0000192.776",103
"CL0000192.777",99
"CL0000192.778",102
"CL0000192.779",102
"CL0000192.780",110
"CL0000192.781",110
"CL0000192.782",100
"CL0000192.783",106
"CL0000192.784",107
"CL0000192.785",106
"CL0000192.786",106
"CL0000192.787",98
"CL0000192.788",99
"CL0000192.789",111
"CL0000192.790",105
"CL0000192.791",107
"CL0000192.792",103
"CL0000192.793",106
"CL0000192.794",100
"CL0000192.795",103
"CL0000192.796",106
"CL0000192.797",110
"CL0000192.798",102
"CL0000192.799",98
"CL0000192.800",99
"CL0000192.801",107
"CL0000192.802",110
"CL0000192.803",100
"CL0000192.804",106
"CL0000192.805",107
"CL0000192.806",99
"CL0000192.807",100
"CL0000192.808",99
"CL0000192.809",106
"CL0000192.810",103
"CL0000192.811",105
"CL0000192.812",99
"CL0000192.813",98
"CL0000192.814",99
"CL0000192.815",107
"CL0000192.816",98
"CL0000192.817",98
"CL0000192.818",107
"CL0000192.819",106
"CL0000192.820",109
"CL0000192.821",99
"CL0000192.822",105
"CL0000192.823",98
"CL0000192.824",103
"CL0000192.825",106
"CL0000192.826",107
"CL0000192.827",105
"CL0000192.828",99
"CL0000192.829",100
"CL0000192.830",103
