"","x"
"CL0000192.1089",78
"CL0000192.1090",78
"CL0000192.1091",89
"CL0000192.1092",85
"CL0000192.1093",84
"CL0000192.1094",84
"CL0000192.1095",84
"CL0000192.1096",82
"CL0000192.1097",89
"CL0000192.1098",88
"CL0000192.1099",78
"CL0000192.1100",81
"CL0000192.1101",89
"CL0000192.1102",78
"CL0000192.1103",84
"CL0000192.1104",85
"CL0000192.1105",78
"CL0000192.1106",84
"CL0000192.1107",85
"CL0000192.1108",78
"CL0000192.1109",89
"CL0000192.1110",89
"CL0000192.1111",78
"CL0000192.1112",78
"CL0000192.1113",79
"CL0000192.1114",91
"CL0000192.1115",78
"CL0000192.1116",89
"CL0000192.1117",88
"CL0000192.1118",78
"CL0000192.1119",78
"CL0000192.1120",88
"CL0000192.1121",79
"CL0000192.1122",89
"CL0000192.1123",85
"CL0000192.1124",78
"CL0000192.1125",78
"CL0000192.1126",78
"CL0000192.1127",78
"CL0000192.1128",89
"CL0000192.1129",82
"CL0000192.1130",88
"CL0000192.1131",78
"CL0000192.1132",78
"CL0000192.1133",89
"CL0000192.1134",82
"CL0000192.1135",89
"CL0000192.1136",84
"CL0000192.1137",87
"CL0000192.1138",78
"CL0000192.1139",87
"CL0000192.1140",84
"CL0000192.1141",78
"CL0000192.1142",78
"CL0000192.1143",78
"CL0000192.1144",78
"CL0000192.1145",82
"CL0000192.1146",89
"CL0000192.1147",78
"CL0000192.1148",78
"CL0000192.1149",88
"CL0000192.1150",78
"CL0000192.1151",78
"CL0000192.1152",87
"CL0000192.1153",78
"CL0000192.1154",87
"CL0000192.1155",84
"CL0000192.1156",80
"CL0000192.1157",78
"CL0000192.1158",84
"CL0000192.1159",89
"CL0000192.1160",89
"CL0000192.1161",85
"CL0000192.1162",89
"CL0000192.1163",89
"CL0000192.1164",78
"CL0000192.1165",89
"CL0000192.1166",80
"CL0000192.1167",78
"CL0000192.1168",80
"CL0000192.1169",84
"CL0000192.1170",84
"CL0000192.1171",88
"CL0000192.1172",87
"CL0000192.1173",88
"CL0000192.1174",89
"CL0000192.1175",89
"CL0000192.1176",87
"CL0000192.1177",78
"CL0000192.1178",78
"CL0000192.1179",78
"CL0000192.1180",89
"CL0000192.1181",89
"CL0000192.1182",84
"CL0000192.1183",85
"CL0000192.1184",78
"CL0000192.1185",86
"CL0000192.1186",89
"CL0000192.1187",79
"CL0000192.1188",85
"CL0000192.1189",84
"CL0000192.1190",90
"CL0000192.1191",89
"CL0000192.1192",89
"CL0000192.1193",79
"CL0000192.1194",84
"CL0000192.1195",89
"CL0000192.1196",79
"CL0000192.1197",83
"CL0000192.1198",82
"CL0000192.1199",81
"CL0000192.1200",87
"CL0000192.1201",80
"CL0000192.1202",78
"CL0000192.1203",83
"CL0000192.1204",83
"CL0000192.1205",82
"CL0000192.1206",80
"CL0000192.1207",76
"CL0000192.1208",80
"CL0000192.1209",87
"CL0000192.1210",87
"CL0000192.1211",87
"CL0000192.1212",81
"CL0000192.1213",83
"CL0000192.1214",80
"CL0000192.1215",80
"CL0000192.1216",86
"CL0000192.1217",86
"CL0000192.1218",80
"CL0000192.1219",81
"CL0000192.1220",82
"CL0000192.1221",86
"CL0000192.1222",81
"CL0000192.1223",80
"CL0000192.1224",80
"CL0000192.1225",82
"CL0000192.1226",82
"CL0000192.1227",86
"CL0000192.1228",85
"CL0000192.1229",79
"CL0000192.1230",82
"CL0000192.1231",82
"CL0000192.1232",80
"CL0000192.1233",82
"CL0000192.1234",83
"CL0000192.1235",81
"CL0000192.1236",83
"CL0000192.1237",80
"CL0000192.1238",83
"CL0000192.1239",82
"CL0000192.1240",82
"CL0000192.1241",82
"CL0000192.1242",79
"CL0000192.1243",83
"CL0000192.1244",83
"CL0000192.1245",85
"CL0000192.1246",82
"CL0000192.1247",86
